"기준일","요일","시군구","연령대","성별","통화건수"
20170201,"수","강남구","10대","남",55
20170201,"수","강남구","10대","여",27
20170201,"수","강남구","20대","남",115
20170201,"수","강남구","20대","여",82
20170201,"수","강남구","30대","남",148
20170201,"수","강남구","30대","여",126
20170201,"수","강남구","40대","남",111
20170201,"수","강남구","40대","여",244
20170201,"수","강남구","50대","남",42
20170201,"수","강남구","50대","여",71
20170201,"수","강남구","60대이상","남",28
20170201,"수","강남구","60대이상","여",24
20170201,"수","강동구","10대","남",46
20170201,"수","강동구","10대","여",29
20170201,"수","강동구","20대","남",64
20170201,"수","강동구","20대","여",65
20170201,"수","강동구","30대","남",80
20170201,"수","강동구","30대","여",89
20170201,"수","강동구","40대","남",71
20170201,"수","강동구","40대","여",113
20170201,"수","강동구","50대","남",32
20170201,"수","강동구","50대","여",44
20170201,"수","강동구","60대이상","남",15
20170201,"수","강동구","60대이상","여",20
20170201,"수","강북구","10대","남",23
20170201,"수","강북구","10대","여",27
20170201,"수","강북구","20대","남",46
20170201,"수","강북구","20대","여",35
20170201,"수","강북구","30대","남",70
20170201,"수","강북구","30대","여",90
20170201,"수","강북구","40대","남",65
20170201,"수","강북구","40대","여",103
20170201,"수","강북구","50대","남",19
20170201,"수","강북구","50대","여",32
20170201,"수","강북구","60대이상","남",9
20170201,"수","강북구","60대이상","여",11
20170201,"수","강서구","10대","남",82
20170201,"수","강서구","10대","여",57
20170201,"수","강서구","20대","남",121
20170201,"수","강서구","20대","여",126
20170201,"수","강서구","30대","남",177
20170201,"수","강서구","30대","여",226
20170201,"수","강서구","40대","남",119
20170201,"수","강서구","40대","여",250
20170201,"수","강서구","50대","남",63
20170201,"수","강서구","50대","여",76
20170201,"수","강서구","60대이상","남",29
20170201,"수","강서구","60대이상","여",47
20170201,"수","관악구","10대","남",45
20170201,"수","관악구","10대","여",39
20170201,"수","관악구","20대","남",152
20170201,"수","관악구","20대","여",104
20170201,"수","관악구","30대","남",135
20170201,"수","관악구","30대","여",102
20170201,"수","관악구","40대","남",61
20170201,"수","관악구","40대","여",130
20170201,"수","관악구","50대","남",21
